product_id,baseline_price,cost,avg_rating_last_30d,recent_complaints,competitor_avg_price,trend
2417,88.07,40.0,4.3,0,65–100,unclear
2418,177.8,143.0,3.94,7,160–190,stable
2419,250.47,110.0,4.55,0,unknown,rising?
2420,178.43,143.0,3.72,6,160–190,stable
2421,88.32,40.0,3.97,4,65–100,unclear
2422,130.65,75.0,3.62,9,109–140,negative
2423,180.54,143.0,3.78,5,160–190,stable
2424,91.34,40.0,4.29,0,65–100,unclear
2425,158.57,95.0,3.23,19,130–180,negative?
2426,248.58,110.0,4.55,0,unknown,rising?
2427,160.28,95.0,2.8,19,130–180,negative?
2428,177.51,143.0,3.74,3,160–190,stable
2429,50.56,27.0,4.61,5,44–52,stable
2430,180.52,143.0,3.83,2,160–190,stable
2431,48.07,27.0,4.4,3,44–52,stable
2432,250.75,110.0,4.94,0,unknown,rising?
2433,88.59,40.0,4.46,3,65–100,unclear
2434,180.37,143.0,3.9,6,160–190,stable
2435,249.57,110.0,4.96,0,unknown,rising?
2436,177.09,143.0,3.89,2,160–190,stable
2437,251.6,110.0,4.78,0,unknown,rising?
2438,51.92,27.0,4.69,4,44–52,stable
2439,88.7,40.0,4.05,0,65–100,unclear
2440,88.98,40.0,4.08,0,65–100,unclear
2441,127.65,75.0,3.75,10,109–140,negative
2442,161.9,95.0,3.19,17,130–180,negative?
2443,51.6,27.0,4.48,0,44–52,stable
2444,88.54,40.0,4.1,0,65–100,unclear
2445,88.86,40.0,4.08,0,65–100,unclear
2446,89.09,40.0,3.97,1,65–100,unclear
2447,48.84,27.0,4.42,5,44–52,stable
2448,160.39,95.0,3.0,14,130–180,negative?
2449,89.87,40.0,4.23,2,65–100,unclear
2450,127.03,75.0,3.55,10,109–140,negative
2451,177.73,143.0,3.76,6,160–190,stable
2452,50.29,27.0,4.49,3,44–52,stable
2453,127.45,75.0,4.08,13,109–140,negative
2454,179.54,143.0,4.22,2,160–190,stable
2455,91.3,40.0,3.95,0,65–100,unclear
2456,90.87,40.0,4.09,3,65–100,unclear
2457,90.14,40.0,4.08,4,65–100,unclear
2458,251.48,110.0,4.85,3,unknown,rising?
2459,90.83,40.0,4.41,1,65–100,unclear
2460,130.88,75.0,3.66,11,109–140,negative
2461,250.41,110.0,4.66,0,unknown,rising?
2462,88.5,40.0,4.09,0,65–100,unclear
2463,50.49,27.0,4.55,2,44–52,stable
2464,250.27,110.0,4.53,0,unknown,rising?
2465,90.48,40.0,4.17,0,65–100,unclear
2466,128.84,75.0,4.0,13,109–140,negative
2467,161.45,95.0,3.05,19,130–180,negative?
2468,127.8,75.0,3.77,9,109–140,negative
2469,49.85,27.0,4.31,5,44–52,stable
2470,159.05,95.0,3.13,15,130–180,negative?
2471,89.51,40.0,4.47,2,65–100,unclear
2472,160.24,95.0,2.84,16,130–180,negative?
2473,180.62,143.0,4.21,2,160–190,stable
2474,51.78,27.0,4.4,5,44–52,stable
2475,128.94,75.0,4.1,13,109–140,negative
2476,128.86,75.0,3.58,11,109–140,negative
2477,249.91,110.0,4.41,0,unknown,rising?
2478,50.25,27.0,4.45,2,44–52,stable
2479,49.75,27.0,4.36,3,44–52,stable
2480,90.99,40.0,4.09,3,65–100,unclear
2481,89.0,40.0,4.36,0,65–100,unclear
2482,177.31,143.0,3.86,5,160–190,stable
2483,178.98,143.0,4.11,7,160–190,stable
2484,129.82,75.0,3.63,11,109–140,negative
2485,50.25,27.0,4.38,0,44–52,stable
2486,130.52,75.0,3.98,11,109–140,negative
2487,49.87,27.0,4.55,2,44–52,stable
2488,89.2,40.0,4.22,0,65–100,unclear
2489,127.85,75.0,3.61,14,109–140,negative
2490,159.66,95.0,3.03,16,130–180,negative?
2491,49.1,27.0,4.62,2,44–52,stable
2492,89.28,40.0,3.95,0,65–100,unclear
2493,178.61,143.0,3.95,2,160–190,stable
2494,159.81,95.0,3.28,18,130–180,negative?
2495,178.49,143.0,3.79,4,160–190,stable
2496,159.24,95.0,3.36,17,130–180,negative?
2497,129.91,75.0,3.67,10,109–140,negative
2498,89.76,40.0,3.93,1,65–100,unclear
2499,161.48,95.0,3.23,14,130–180,negative?
2500,128.71,75.0,3.57,11,109–140,negative
2501,91.84,40.0,4.34,3,65–100,unclear
2502,177.73,143.0,4.11,4,160–190,stable
2503,129.56,75.0,3.52,12,109–140,negative
2504,129.45,75.0,3.52,14,109–140,negative
2505,159.05,95.0,3.27,19,130–180,negative?
2506,49.35,27.0,4.63,0,44–52,stable
2507,128.76,75.0,3.76,14,109–140,negative
2508,250.29,110.0,4.55,1,unknown,rising?
2509,249.43,110.0,4.69,1,unknown,rising?
2510,89.22,40.0,4.19,1,65–100,unclear
2511,179.22,143.0,4.15,5,160–190,stable
2512,250.48,110.0,4.87,1,unknown,rising?
2513,160.41,95.0,3.33,17,130–180,negative?
2514,161.03,95.0,3.08,16,130–180,negative?
2515,178.58,143.0,3.81,2,160–190,stable
2516,250.24,110.0,4.74,1,unknown,rising?
2517,160.03,95.0,3.06,18,130–180,negative?
2518,131.0,75.0,3.52,10,109–140,negative
2519,48.17,27.0,4.35,3,44–52,stable
2520,179.56,143.0,3.99,6,160–190,stable
2521,249.61,110.0,4.85,0,unknown,rising?
2522,160.0,95.0,3.26,15,130–180,negative?
2523,249.35,110.0,4.87,0,unknown,rising?
2524,180.38,143.0,3.88,2,160–190,stable
2525,249.94,110.0,4.96,2,unknown,rising?
2526,158.65,95.0,3.12,14,130–180,negative?
2527,89.62,40.0,4.3,4,65–100,unclear
2528,251.62,110.0,4.66,0,unknown,rising?
2529,249.49,110.0,4.6,2,unknown,rising?
2530,48.31,27.0,4.32,4,44–52,stable
2531,161.48,95.0,3.09,16,130–180,negative?
2532,160.5,95.0,3.13,18,130–180,negative?
2533,248.08,110.0,4.5,0,unknown,rising?
2534,158.1,95.0,3.11,15,130–180,negative?
2535,91.04,40.0,4.16,0,65–100,unclear
2536,89.64,40.0,4.08,0,65–100,unclear
2537,127.54,75.0,3.63,10,109–140,negative
2538,129.35,75.0,3.96,10,109–140,negative
2539,159.87,95.0,3.36,14,130–180,negative?
2540,248.27,110.0,4.81,0,unknown,rising?
2541,159.34,95.0,3.33,15,130–180,negative?
2542,161.64,95.0,2.83,16,130–180,negative?
2543,129.86,75.0,3.54,14,109–140,negative
2544,91.38,40.0,4.09,0,65–100,unclear
2545,179.74,143.0,3.8,5,160–190,stable
2546,91.11,40.0,4.34,1,65–100,unclear
2547,88.75,40.0,4.33,2,65–100,unclear
2548,49.88,27.0,4.2,5,44–52,stable
2549,159.52,95.0,3.28,18,130–180,negative?
2550,128.17,75.0,3.94,11,109–140,negative
2551,161.72,95.0,3.21,14,130–180,negative?
2552,177.01,143.0,4.24,5,160–190,stable
2553,50.39,27.0,4.66,5,44–52,stable
2554,250.82,110.0,4.85,3,unknown,rising?
2555,49.29,27.0,4.56,1,44–52,stable
2556,158.58,95.0,3.17,15,130–180,negative?
2557,50.88,27.0,4.17,1,44–52,stable
2558,90.31,40.0,3.92,0,65–100,unclear
2559,161.22,95.0,2.82,19,130–180,negative?
2560,180.3,143.0,3.97,4,160–190,stable
2561,48.18,27.0,4.37,4,44–52,stable
2562,159.83,95.0,3.04,17,130–180,negative?
2563,179.09,143.0,3.87,3,160–190,stable
2564,178.98,143.0,3.81,5,160–190,stable
2565,128.0,75.0,4.06,14,109–140,negative
2566,159.65,95.0,3.14,14,130–180,negative?
