product_id,title,category,price,cost,attributes,description
1144,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1145,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1146,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1147,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1148,Slim Fti Tee,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1149,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1150,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1151,Slim Fit T-shirt,Menswear,49.99,27,color=black; size=L,Same model as 101?
1152,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1153,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1154,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1155,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1156,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1157,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1158,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1159,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1160,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1161,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1162,Slim Fti T-shirt,Apparel/Men,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn. Customer said: 'ok quality'.
1163,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1164,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues. Customer said: 'ok quality'.
1165,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1166,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1167,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1168,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1169,Slim Fit Tee,Menswear,49.99,27,color=black; size=L,Same model as 101?
1170,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1171,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1172,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1173,Slim Fti T-shirt,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1174,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1175,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?). Customer said: 'ok quality'.
1176,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1177,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1178,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1179,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1180,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1181,Slim Fti T-shirt,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1182,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1183,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1184,Slim Fit T-shirt,Menswear,49.99,27,color=black; size=L,Same model as 101?
1185,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1186,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1187,Slim Fti T-shirt,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1188,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1189,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1190,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1191,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1192,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1193,Slim Fit T-shirt,Menswear,49.99,27,color=black; size=L,Same model as 101? Customer said: 'ok quality'.
1194,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น Customer said: 'ok quality'.
1195,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1196,Slim Fti T-shirt,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn. Customer said: 'ok quality'.
1197,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1198,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1199,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1200,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate? Customer said: 'ok quality'.
1201,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1202,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1203,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1204,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1205,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1206,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1207,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1208,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1209,Slim Fti T-shirt,Apparel/Men,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn. Customer said: 'ok quality'.
1210,Slim Fit T-shirt,Menswear,49.99,27,color=black; size=L,Same model as 101? Customer said: 'ok quality'.
1211,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1212,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1213,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1214,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1215,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1216,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1217,Slim Fti T-shirt,Apparel/Men,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1218,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1219,Slim Fit Tee,Menswear,49.99,27,color=black; size=L,Same model as 101?
1220,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1221,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1222,Slim Fit T-shirt,Menswear,49.99,27,color=black; size=L,Same model as 101?
1223,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1224,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1225,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1226,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1227,Slim Fit T-shirt,Menswear,49.99,27,color=black; size=L,Same model as 101?
1228,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1229,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1230,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1231,Slim Fti T-shirt,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1232,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1233,Slim Fti T-shirt,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1234,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1235,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1236,Wireless EarBud Pro,,129,75,bt=5; battery_life=5-6 hrs?,Premium earbuds. Noise canselling. Some customers reported issues.
1237,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1238,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1239,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1240,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32", Customer said: 'ok quality'.
1241,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1242,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1243,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1244,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1245,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1246,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1247,Slim Fti Tee,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1248,Slim Fit T-shirt,Menswear,49.99,27,color=black; size=L,Same model as 101?
1249,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1250,Slim Fti T-shirt,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1251,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1252,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1253,Foldable Table,,399,280,,Foldable wooden table 120cm x 60cm. Might be pine or beech wood.
1254,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1255,3pc Cook Set – Steel,Kitchen ,250,??,material=stl; weight=2.5kg,ชุดหม้อสแตนเลส 3 ชิ้น
1256,Slim Fti Tee,Clothes > Mens,49.99,unknown,color=blk; size=L,A popular mens shirt made of cottn.
1257,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
1258,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1259,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1260,Portable Blender,Home Appliances,Unclear,95,500ml,Rechargeable blender (but cable missing?).
1261,Coffee Press,Kitchen & Dining,ninety,40,capacity=1L??,1-liter French press. Maybe borosilcate?
1262,Kids Sneakers,Shoes/Kids,179 SAR,143 SAR,"color=red, size=32",
